warframe,gender,originalRelease,primeRelease,primeVaulted
Ash,m,,1436227200,1496102400
Atlas,m,1443657600,,
Banshee,f,1363564800,1488240000,
Chroma,m,1426723200,,
Ember,f,,1384905600,1444089600
Equinox,f,1438300800,,
Excalibur,m,,1364169600,1364169600
Frost,m,,1367539200,1427155200
Gara,f,1507766400,,
Harrow,m,1498608000,,
Hydroid,m,1397088000,1503964800,
Inaros,m,1457049600,,
Ivara,f,1449100800,,
Khora,f,1524182400,,
Limbo,m,1414108800,1529366400,
Loki,m,,1402444800,1463443200
Mag,f,,1379030400,1436227200
Mesa,f,1417046400,,
Mirage,f,1405641600,1513036800,
Nekros,m,1379030400,1471910400,
Nezha,m,1450224000,,
Nidus,m,1482364800,,
Nova,f,1373673600,1418688000,1479772800
Nyx,f,,1411430400,1471910400
Oberon,m,1387324800,1496102400,
Octavia,f,1490313600,,
Rhino,m,,1393977600,1455580800
Saryn,f,1363564800,1455580800,1513036800
Titania,f,1471564800,,
Trinity,f,,1444089600,1503964800
Valkyr,f,1384905600,1479772800,
Vauban,m,1368748800,1463443200,1521504000
Volt,m,,1427155200,1488240000
Wukong,m,1448409600,,
Zephyr,f,1391558400,1521504000,
